2014-10-28 00:02:37,703 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.mongodb:M101J:1.0-SNAPSHOT @ /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/pom.xml.
2014-10-28 00:02:38,137 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /hw2-3/src/main/java
2014-10-28 00:02:38,137 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /hw2-3/src/main/resources
2014-10-28 00:02:38,138 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /hw2-3/src/test/java
2014-10-28 00:02:38,198 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2014-10-28 00:02:39,085 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.mongodb:M101J:1.0-SNAPSHOT @ /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/pom.xml.
2014-10-28 00:02:40,085 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:02:40,097 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:02:40,109 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:02:40,110 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:02:41,676 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:02:41,678 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-28 00:02:41,683 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:02:41,684 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:02:45,920 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:02:45,921 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-28 00:02:45,923 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:02:45,923 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:05:44,821 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.mongodb:M101J:1.0-SNAPSHOT @ /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/pom.xml.
2014-10-28 00:05:44,873 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:05:44,873 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-28 00:05:44,875 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:05:44,875 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:05:50,532 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.mongodb:M101J:1.0-SNAPSHOT @ /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/pom.xml.
2014-10-28 00:05:50,628 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:05:50,629 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-28 00:05:50,631 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:05:50,631 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:05:52,108 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.mongodb:M101J:1.0-SNAPSHOT @ /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/pom.xml.
2014-10-28 00:05:52,186 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:05:52,188 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:05:52,191 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:05:52,191 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:08:37,018 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:08:37,019 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2014-10-28 00:08:37,020 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:08:37,021 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ale/workspace/week_2_crud/homework_2_3_mongoproc/hw2-3/src/test/resources
2014-10-28 00:10:08,180 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-28 00:10:08,182 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
